Número na Processada	Nome do Museu	Natureza Administrativa	Instituição mantenedora	Endereço Visitação	Número Visitação	Complemento Visitação	Bairro Visitação	CEP Visitação	Município Visitação	UF Visitação	Longitude	Latitude	Endereço Correspondência	Número Correspondência	Complemento Correspondência	Caixa Postal	Bairro Correspondência	CEP Correspondência	Município Correspondência	UF Correspondência	Telefone	E-mail	Site	Antropologia e Etnografia	Arqueologia	Arquivístico	Artes Visuais	Ciências Naturais e História Natural	Ciência e Tecnologia	História	Imagem e Som	Virtual	Outros	2.3 -  Em relação à temática do museu, classifique a instituição em APENAS UMA   opção:	Ano de Abertura	Situação de funcionamento	Segunda_feira	Terça-feira	Quarta-feira	Quinta-feira	Sexta-feira	Sábado	Domingo	O ingresso ao Museu é cobrado?	Valor	[Bebedouro] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Estacionamento  ] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Guarda-volumes  ] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Livraria] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Loja] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Restaurante e/ou lanchonete] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Sanitário] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Teatro/Auditório ] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	3.5.1 - Capacidade do teatro/auditório (assentos):	O Museu promove visitas guiadas?	O Museu possui infraestrutura para recebimento de turistas estrangeiros?	3.6.1 - O museu dispõe de sinalização visual em outro(s) idioma(s)?	3.6.2 - O museu oferece material de divulgação impresso em outros idiomas?	3.6.3 - O museu oferece audioguia em outros idiomas?	3.6.4 - O museu dispõe de guia/monitor/mediador que fala outro idioma?	3.7 - O museu possui infraestrutura para atender visitantes que apresentam dificuldade de locomoção?	[Bebedouro adaptado] 3.7.1 - Especifique:	[Cadeira de rodas para uso do visitante] 3.7.1 - Especifique:	[Circuito de visitação adaptado] 3.7.1 - Especifique:	[Corrimãos nas escadas e nas rampas] 3.7.1 - Especifique:	Elevadores com cabine e portas de entrada acessíveis para pessoa portadora de deficiência ou com mobilidade reduzida	Rampa de acesso	sanitários adaptados com equipamentos e acessórios próprios	[Telefone público adaptado] 3.7.1 - Especifique:	Vagas exclusivas em estacionamento	[Vaga de estacionamento exclusiva para idosos] 3.7.1 - Especifique:	3.8 - O museu oferece instalações e serviços destinados às pessoas com deficiências auditivas e visuais?	[Guia multimídia (audioguia com monitor)] 3.8.1 - Especifique:	[Maquetes táteis ou mapas em relevo do museu] 3.8.1 - Especifique:	[Obras e reproduções táteis] 3.8.1 - Especifique:	[Piso tátil] 3.8.1 - Especifique:	sinalização em braile	[Tradutor de Linguagem Brasileira de Sinais (LIBRAS)] 3.8.1 - Especifique:	textos/etiquetas em braile com informações sobre os objetos em exposição	O Museu possui arquivo histórico?	O arquivo tem acesso ao público?	O Museu possui biblioteca?	A biblioteca tem acesso ao público?	1.3 -  CNPJ:	2.2  -  Em relação à sua atividade principal, indique a opção que melhor caracterize a instituição:	2.2.1 -  A instituição possui acervo:	2.5 - O museu é de caráter comunitário?	2.5.1 - A comunidade realiza atividades museológicas (inventário participativo, museografia...)?	2.6 - O Museu é:	2.7 - Com relação ao acervo, indique a opção que melhor caracterize a instituição:	2.7.1 -  O comodato/empréstimo está formalizado por meio de documento legal?	2.7.2 - Especifique, em meses , a duração do comodato/empréstimo (havendo mais de um contrato especificar o de maior duração):	2.8 - Com relação às exposições, indique a opção que melhor caracterize a instituição:	2.9 - O museu é itinerante?	2.9.1 -  O museu depende de recursos financeiros de outra instituição para a itinerância da exposição?	2.10 -  O museu possui também acervo material?	2.10.1 - Esse acervo encontra-se em exposição presencial?	[O museu NÃO possui acervo em exposições em núcleo edificado] 2.11 - Marque a(s) opção(ões) que caracteriza(m) o museu:	[A exposição do museu está no próprio território] 2.11 - Marque a(s) opção(ões) que caracteriza(m) o museu:	[O museu possui núcleo(s) edificado(s) com acervo em exposição] 2.11 - Marque a(s) opção(ões) que caracteriza(m) o museu:	[O museu possui núcleo edificado apenas como sede técnico administrativa] 2.11 - Marque a(s) opção(ões) que caracteriza(m) o museu:	[O Museu NÃO possui núcleo edificado e NÃO possui sede técnico-administrativa] 2.11 - Marque a(s) opção(ões) que caracteriza(m) o museu:	[O acervo do museu é composto de núcleos edificados] 2.11 - Marque a(s) opção(ões) que caracteriza(m) o museu:	2.12 -  Identifique o tipo/categoria de manejo da Unidade de Conservação:	2.12.1 - Especifique:	2.12.2 - Especifique:	3.3 - O museu é aberto ao púbico em geral ou somente para públicos específicos?	4.1 - O museu possui instrumento de criação?	4.1.1 - Especifique instrumento de criação:	Nº e data da Lei:	Nº e data do Decreto-Lei:	Nº e data da Decreto:	Nº e data da Portaria:	Nº e data da Resolução:	Nº e data do Ata de Reunião:	Natureza do documento, número e data:	4.2 - O museu possui regimento interno?	4.3 -  O museu possui plano museológico?	6.6 - O museu possui política de aquisição de acervo?	6.7 - O museu possui política de descarte de acervo?
6.20.06.8097	Museu São Pedro de Alcântara	Pública Municipal  	-	Praça de São Pedro do Itabapoana 	s/n	Aldeia de São Pedro do Itabapoana	Centro	29400-000	Mimoso do Sul	ES	-	-	Secretaria Municipal de Cultura - Ladeira Lauro Lemos	162	-	-	Centro	29400-000	Mimoso do Sul	ES	(28) 3555-1359	cultura@mimosodosul.es.gov.br	  -  	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	  -  	Aberto	09:00 - 17:00	09:00 - 17:00	09:00 - 17:00	09:00 - 17:00	09:00 - 17:00	Não abre	Não abre	N	NULL	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6.20.70.4706	Centro Interdisciplinar de Ciência - Escola Técnica Estadual Professor José Sant'ana de Castro	Pública Estadual  	-	Rua Oto Barcellos	s/n	 	Centro	12730-010	Cruzeiro	SP	-44.961725	-22.58258	Rua Oto Barcellos	s/n	 	    	Centro	12730-010	Cruzeiro	SP	(12) 3144-1207	etecruzeiro@yahoo.com.br; etecruzeiro@bol.com.br	  -  	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	1984	Aberto	  -      	  -      	  -      	  -      	  -      	  -      	  -      	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6.20.88.4797	Museu Eco-cultural Monte Olimpo	Privada  	-	Saco do São Pedro (Zona Rural) 	s/n	Sítio Monte Olimpo	Distrito de Palestina do Norte	62300-000	Meruoca	CE	-	-	Saco do São Pedro (Zona Rural) 	s/n	Sítio Monte Olimpo	    	Distrito de Palestina do Norte	62300-000	Meruoca	CE	(88) 9642-0654 / (88) 9462-2080	asso.luardaserra@outlook.com; pauloemilioaa@gmail.com	  -  	1	NULL	NULL	NULL	NULL	NULL	6	NULL	NULL	NULL	-	2007	Aberto	Não abre	08:00 - 20:00	08:00 - 20:00	08:00 - 20:00	08:00 - 20:00	08:00 - 20:00	08:00 - 20:00	N	-	-	-	-	-	-	-	-	-	-	S	S	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	S	N	S	S	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6.21.06.5470	Museu Histórico Bradesco	Privada  	-	Cidade de Deus	s/n	 	Vila Yara	06029-900	Osasco	SP	-46.769092	-23.526354	Cidade de Deus	s/n	 	    	Vila Yara	06029-900	Osasco	SP	(11) 3684-3822	  -  	www.fundacaobradesco.org.br/museu/museu.asp	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	1983	Aberto	  -      	  -      	  -      	  -      	  -      	  -      	  -      	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6.21.17.7386	Museu Aníbal Ribeiro Filho	Privada  	-	Rua XV de Novembro	621	    	Centro Histórico	83203-010	Paranaguá	PR	-48.507129	-25.521573	Rua XV de Novembro	621	    	    	Centro Histórico	83203-010	Paranaguá	PR	(41) 3423-2892	lcezar@ufpr.br	https://www.facebook.com/MIS.paranagua?fref=ts	NULL	2	NULL	3	4	NULL	6	7	NULL	NULL	-	1961	Aberto	13:00 - 17:00	13:00 - 17:00	13:00 - 17:00	13:00 - 17:00	13:00 - 17:00	10:00 - 13:00	10:00 - 13:00	N	-	-	-	-	-	-	-	-	-	-	S	S	-	-	-	-	-	-	-	-	-	N	S	N	-	S	-	-	-	-	-	-	N	-	N	S	S	S	S	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6.21.61.4208	Museu da Indumentária e da Moda (Virtual)	Privada  	-	www.mimo.org.br	s/n	-	Morumbi	04707-000	São Paulo	SP	-	-	Rua Safira	497	-	-	Aclimação	01532-010	São Paulo	SP	(11) 95882-7725 / (11) 4592-2054	marcia@mimo.org.br	www.mimo.org.br; https://www.facebook.com/Design.MIMo	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	História	2012	Aberto	00:00 - 23:59	00:00 - 23:59	00:00 - 23:59	00:00 - 23:59	00:00 - 23:59	00:00 - 23:59	00:00 - 23:59	N	 	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N	N	N	N/A	N	N/A	N/A	N/A	N/A	N/A	N/A	N	N/A	N	N	N	N	N	12868678866	Museu	N/A	Sim	Sim	Virtual	N/A	N/A	N/A	N/A	N/A	N/A	Sim	Não	Não	Não	Não	-	Não	Não	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6.21.93.0672	Museu Antropológico e Etnográfico Francisco Manoel Franco	Pública Municipal  	-	Praça João Pessoa	s/n	-	Centro	35680-059	Itaúna	MG	-44.580538	-20.082276	Praça João Pessoa	s/n	-	    	Centro	35680-059	Itaúna	MG	(37) 3243-7028 / (37) 3243-6395	  -  	  -  	NULL	NULL	NULL	NULL	NULL	5	NULL	7	NULL	NULL	-	1992	Aberto	13:00 - 17:00	13:00 - 17:00	08:00 - 12:00/ 13:00 - 17:00	08:00 - 12:00/ 13:00 - 17:00	08:00 - 12:00	Não abre	Não abre	N	 	-	-	-	-	-	-	-	-	-	S	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6.22.10.6995	Museu Dom Avelar Brandão Vilela	Não informada  	-	Rua Poeta Domingos Fonseca	s/n	    	Cristo Rei	64014-315	Teresina	PI	-42.792086	-5.100463	Rua Poeta Domingos Fonseca	s/n	    	    	Cristo Rei	64014-315	Teresina	PI	(86) 3221-4339	fccr@triade.com.br	  -  	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	-	Aberto	  -      	  -      	  -      	  -      	  -      	  -      	  -      	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6.22.35.3512	Museu de Arte (Fundação Pierre Chalita)	Privada  	-	Praça Floriano Peixoto	44	    	Centro	57020-090	Maceió	AL	-35.738727	-9.659495	Praça Floriano Peixoto	44	    	    	Centro	57020-090	Maceió	AL	(82) 3223-4298	  -  	  -  	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	1980	Aberto	08:00 - 12:00 / 14:00 - 17:00	08:00 - 12:00 / 14:00 - 17:00	08:00 - 12:00 / 14:00 - 17:00	08:00 - 12:00 / 14:00 - 17:00	08:00 - 12:00 / 14:00 - 17:00	Não abre	Não abre	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6.22.37.0315	Museu Público Municipal de Santo Augusto	Pública Municipal  	-	Rua Coronel Julio Pereira dos Santos	515	    	Centro	98590-000	Santo Augusto	RS	-53.778133	-27.853058	Rua Coronel Julio Pereira dos Santos	515	    	    	Centro	98590-000	Santo Augusto	RS	(55) 3781-4390	cultura@santoaugusto.com.br	  -  	NULL	NULL	NULL	NULL	4	5	6	7	NULL	NULL	-	1999	Aberto	08:00 - 12:00 / 13:30 - 17:30	08:00 - 12:00 / 13:30 - 17:30	08:00 - 12:00 / 13:30 - 17:30	08:00 - 12:00 / 13:30 - 17:30	08:00 - 12:00 / 13:30 - 17:30	Não abre	Não abre	N	0	-	-	-	-	-	-	-	-	-	S	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6.22.47.7183	Museu Histórico Municipal de São Caetano do Sul	Pública Municipal  	-	Rua Maximiliano Lorenzini	122	 	Fundação	09529-510	São Caetano do Sul	SP	-46.575927	-23.602647	Rua Maximiliano Lorenzini	122	 	    	Fundação	09529-510	São Caetano do Sul	SP	(11) 4229-1988	museu@fpm.org.br	www.fpm.org.br	NULL	2	NULL	NULL	NULL	NULL	6	NULL	NULL	NULL	História	1960	Aberto	09:00 - 17:00	09:00 - 17:00	09:00 - 17:00	09:00 - 17:00	09:00 - 17:00	09:00 - 13:00	Não abre	N	-	Sim	Sim	Não	Não	Não	Não	Sim	Não	N/A	S	N	N/A	N/A	N/A	N/A	Sim	Não	Não	Não	Não	N	S	N	Não	S	Não	Não	N/A	N/A	N/A	N/A	N	N/A	N	S	N	S	S	67175539/0001-52	Museu	N/A	Sim	Sim	Tradicional/Clássico	Possui acervo próprio	N/A	N/A	Possui exposição de longa duração e realiza exposições de curta duração	Não	N/A	N/A	N/A	Não	Não	Não	-	Não	Não	N/A	N/A	N/A	Para público em geral	Sim	Lei	904/60 (15/01/1960)	N/A	N/A	N/A	N/A	N/A	N/A	Sim	Sim	Sim	Sim
6.22.66.6496	Museu Drogasil	Privada  	-	Avenida Corifeu de Azevedo Marques	3097	 	Butantã	05339-900	São Paulo	SP	-46.741631	-23.569243	Avenida Corifeu de Azevedo Marques	3097	 	    	Butantã	05339-900	São Paulo	SP	(11) 3769-5601	rosana@drogasil.com.br	  -  	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	1982	Fechado	  -      	  -      	  -      	  -      	  -      	  -      	  -      	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6.22.79.9046	Acervo Municipal Governador Doutor Francelino Pereira dos Santos	Pública Municipal  	-	Praça Getúlio Vargas	 s/n	    	Centro	36790-000	Miraí	MG	-42.612621	-21.202629	Praça Getúlio Vargas	 s/n	    	    	Centro	36790-000	Miraí	MG	(32) 3426-2115	educacao@interminas.com.br	  -  	NULL	NULL	NULL	3	NULL	5	6	7	NULL	NULL	-	1986	Aberto	07:00 - 18:00	07:00 - 18:00	07:00 - 18:00	07:00 - 18:00	07:00 - 18:00	Não abre	Não abre	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6.22.87.8700	Casa de Anita	Pública Municipal  	-	Rua Conselheiro Jerônimo Coelho	s/n	 	Centro	88790-000	Laguna	SC	-48.780569	-28.483744	Rua Conselheiro Jerônimo Coelho	s/n	 	    	Centro	88790-000	Laguna	SC	(48) 3646-2542	culturalaguna@gmail.com	www.laguna.sc.gov.br	NULL	NULL	NULL	NULL	NULL	NULL	6	NULL	NULL	NULL	-	1978	Aberto	09:00 - 18:00	09:00 - 18:00	09:00 - 18:00	09:00 - 18:00	09:00 - 18:00	09:00 - 18:00	09:00 - 18:00	S	R$ 2,50 - público em geral. Tem gratuidade/desconto os casos previstos em lei.	-	-	-	-	-	-	-	-	-	S	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6.23.17.0360	Parque Nacional dos Lençóis Maranhenses	Pública Federal  	-	Rua Cazuza	328	    	Cruzeiro	65590-000	Barreirinhas	MA	-42.824914	-2.745621	Rua Cazuza	328	    	    	Cruzeiro	65590-000	Barreirinhas	MA	(98) 3349-1155	eduardo.macedo@icmbio.gov.br	www.icmbio.gov.br	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	1981	Aberto	08:00 - 12:00 / 14:00 - 18:00	08:00 - 12:00 / 14:00 - 18:00	08:00 - 12:00 / 14:00 - 18:00	08:00 - 12:00 / 14:00 - 18:00	08:00 - 12:00 / 14:00 - 18:00	08:00 - 12:00 / 14:00 - 18:00	08:00 - 12:00 / 14:00 - 18:00	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6.23.37.4500	Museu da Energia de Salesópolis	Privada  	-	Estrada dos Freires ou Contorno da Barragem - km 3	 s/n	 	Freires	08970-000	Salesópolis	SP	-	-	Estrada dos Freires ou Contorno da Barragem km 3	 s/n	 	    	Freires	08970-000	Salesópolis	SP	(11) 4696-1332 / (11) 7091-1665 / (11) 9911-0020	salesopolis@museudaenergia.org.br	http://energiaesaneamento.org.br/	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Educação, Esporte e Lazer	2000	Aberto	Não abre	09:00 - 16:00	09:00 - 16:00	09:00 - 16:00	09:00 - 16:00	10:00 - 16:00	10:00 - 16:00	S	4	Sim	Sim	Não	Sim	Sim	Não	Sim	Sim	40	S	N	N/A	N/A	N/A	N/A	Não	N/A	N/A	N/A	N/A	N	N	N	N/A	N	N/A	Não	N/A	N/A	N/A	N/A	N	N/A	N	N	N	S	N	02.414.436/0002-33	Museu	N/A	Sim	Sim	Museu de Território/Ecomuseu	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Não	Sim	Sim	-	Não	Não	N/A	N/A	N/A	Para público em geral	Não	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Sim	Sim	Sim	Sim
6.23.45.7635	Museu de Ciências Naturais do Parque Dois Irmãos	Pública Estadual  	-	Praça Farias Neves	s/n	    	Dois Irmãos	52171-011	Recife	PE	-34.947134	-8.010644	Praça Farias Neves	s/n	    	    	Dois Irmãos	52171-011	Recife	PE	(81) 3183-5539 / (81) 3183-5541 / (81) 3183-5542	  -  	www.parquedoisirmaos.pe.gov.br	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	-	Aberto	Não abre	08:00 - 16:00	08:00 - 16:00	08:00 - 16:00	08:00 - 16:00	08:00 - 16:00	08:00 - 16:00	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6.23.46.4780	Espaço Cultural Brás Martins da Costa	Pública Municipal  	-	Rua Guarda - Mor Custódio	156	    	Centro	35900-000	Itabira	MG	-43.224779	-19.618556	Rua Guarda - Mor Custódio	156	    	    	Centro	35900-000	Itabira	MG	(31) 3835-2102	fccdadppa@yahoo.com.br	www.culturaemitabira.com.br	NULL	NULL	NULL	3	NULL	NULL	NULL	7	NULL	11	-	1998	Fechado	  -      	  -      	  -      	  -      	  -      	  -      	  -      	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6.23.50.9027	Museu Memorial Noronhense	Pública Municipal  	-	Praça do Cruzeiro	s/n	Pólo Turístico do Cachorro	Vila dos Remédios	53990-000	Fernando de Noronha	PE	-	-	Praça do Cruzeiro	s/n	Pólo Turístico do Cachorro	    	Vila dos Remédios	53990-000	Fernando de Noronha	PE	(81) 9955-6354	memorialnoronhense@noronha.pe.gov.br	facebook.com/memorialnoronhense	NULL	2	NULL	NULL	NULL	NULL	6	NULL	NULL	11	História	1998	Aberto	09:00 - 17:00	09:00 - 17:00	09:00 - 17:00	09:00 - 17:00	09:00 - 17:00	09:00 - 13:00	09:00 - 13:00	N	 	Não	Não	Não	Não	Não	Não	Não	Não	N/A	S	S	Sim	Sim	Não	Sim	Sim	Não	Não	Sim	Não	N	S	N	Não	N	Não	Não	N/A	N/A	N/A	N/A	N	N/A	N	S	N	N	N	40817926000199	Museu	N/A	Sim	Sim	Museu de Território/Ecomuseu	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Não	Não	Sim	-	Não	Não	N/A	N/A	N/A	Para público em geral	Não	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Não	Sim	Não	Não
6.24.15.3253	Museu Amsterdam Sauer	Privada  	-	Rua Garcia D´Avila	105	-	Ipanema	22421-010	Rio de Janeiro	RJ	-43.209252	-22.983805	Rua Garcia D´Avila	105	-	    	Ipanema	22421-010	Rio de Janeiro	RJ	(21) 2512-9878 (Ramal 226)	dino@amsterdamsauer.com	www.amsterdamsauer.com	NULL	NULL	NULL	3	NULL	NULL	6	NULL	NULL	NULL	-	1989	Aberto	09:00 - 19:00	09:00 - 19:00	09:00 - 19:00	09:00 - 19:00	09:00 - 19:00	09:00 - 16:00	09:00 - 16:00	N	0	-	-	-	-	-	-	-	-	-	S	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6.24.21.6870	Museu da Santa Casa	Outra  	-	Rua Coronel Leite Pinto	105	-	Centro	27600-000	Valença	RJ	-43.698496	-22.245652	Rua Coronel Leite Pinto	105	-	    	Centro	27600-000	Valença	RJ	(24) 2453-1460 / (24) 99951-2879	provedoriasantacasa.valenca@estargateway.com.br	  -  	NULL	NULL	NULL	3	NULL	NULL	6	NULL	NULL	NULL	-	1997	Aberto	Mediante agendamento	Mediante agendamento	Mediante agendamento	Mediante agendamento	Mediante agendamento	Mediante agendamento	Mediante agendamento	S	R$ 1,00 - público em geral; R$ 0,50 - estudantes.	-	-	-	-	-	-	-	-	-	S	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	S	S	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6.24.57.9797	Museu Crioulo	Pública Municipal  	-	Rua Santana	s/n	Esquina com a Duque de Caxias	Centro	97510-470	Uruguaiana	RS	-57.08585	-29.761909	Rua Santana esquina com a Duque de Caxias	s/n	-	    	Centro	97510-470	Uruguaiana	RS	(55) 3412-1633	marcia.goulart02@yahoo.com.br	  -  	NULL	2	NULL	3	NULL	NULL	6	NULL	NULL	NULL	-	1978	Aberto	08:00 - 12:00 / 14:00 - 18:00	08:00 - 12:00 / 14:00 - 18:00	08:00 - 12:00 / 14:00 - 18:00	08:00 - 12:00 / 14:00 - 18:00	08:00 - 12:00 / 14:00 - 18:00	14:00 - 18:00	14:00 - 18:00	N	0	-	-	-	-	-	-	-	-	-	S	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6.24.65.5490	Museu Pinacoteca de Igarassu	Pública Municipal  	-	Rua Dantas Barreto	s/n	    	Centro	53600-000	Igarassu	PE	-34.901627	-7.829222	Rua Dantas Barreto	s/n	    	    	Centro	53600-000	Igarassu	PE	(81) 3543-0258	  -  	  -  	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	1994	Aberto	08:00 - 17:00	08:00 - 17:00	08:00 - 17:00	08:00 - 17:00	08:00 - 17:00	08:00 - 12:00/ 14:00 - 17:00	08:00 - 12:00/ 14:00 - 17:00	S	R$ 2,00. Gratuidade para crianças menores de 6 anos e idosos maiores de 65 anos. Estudantes e professores pagam meia entrada.	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6.25.25.7650	Espaço Cultural Correios	Pública Federal  	-	Rua 7 de Setembro	1020	Prédio do Memorial do Rio Grande do Sul	  -  	90010-191	Porto Alegre	RS	-51.232044	-30.029763	Rua 7 de Setembro	1020	Prédio do Memorial do Rio Grande do Sul	    	    	90010-191	Porto Alegre	RS	(51) 3221-7272	espacocultural-rs@correios.com.br	  -  	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	2005	Aberto	Não abre	10:00 - 18:00	10:00 - 18:00	10:00 - 18:00	10:00 - 18:00	Não abre	Não abre	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
